"code
culture",libelle culture,"identifiant
groupe culture","code groupe
culture","libelle groupe
culture","code groupe
intermédiaire","libelle groupe
intermédiaire",id_group,id
PH8,pois_fourrager_hiver_2018,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,143
PP5,pois_fourrager_printemps_2015,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,144
PP6,pois_fourrager_printemps_2016,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,145
PP7,pois_fourrager_printemps_2017,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,146
SA5,sainfoin_2015,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,147
SA6,sainfoin_2016,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,148
SA7,sainfoin_2017,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,149
SAD,sainfoin_deshyd,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,150
SAI,autre_sainfoin,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,151
SE5,serradelle_2015,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,152
SE6,serradelle_2016,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,153
SE7,serradelle_2017,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,154
SED,serradelle_deshyd,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,155
SER,autre_serradelle,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,156
TR5,trefle_2015,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,157
TR6,trefle_2016,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,158
TR7,trefle_2017,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,159
TR8,trefle_2018,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,160
TRD,trefle_deshyd,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,161
TRE,autre_trefle,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,162
VE5,vesce_2015,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,163
VE6,vesce_2016,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,164
VE7,vesce_2017,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,165
VE8,vesce_2018,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,166
VED,vesce_deshyd,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,167
VES,autre_vesce,16,fou,fourrage,fou_fabacees,fourrage_fabacees,32,168
DTY,dactyle_temporaire,16,fou,fourrage,fou_poacees,fourrage_poacees,33,169
FET,fetuque_temporaire,16,fou,fourrage,fou_poacees,fourrage_poacees,33,170
FLO,fleole_temporaire,16,fou,fourrage,fou_poacees,fourrage_poacees,33,171
GFP,autre_graminee_fourragere_pure_temporaire,16,fou,fourrage,fou_poacees,fourrage_poacees,33,172
MOH,moha,16,fou,fourrage,fou_poacees,fourrage_poacees,33,173
PAT,paturin_temporaire,16,fou,fourrage,fou_poacees,fourrage_poacees,33,174
XFE,x_felium_temporaire,16,fou,fourrage,fou_poacees,fourrage_poacees,33,175
LU5,luzerne_2015,16,fou,fourrage,LU,luzerne,34,176
LU6,luzerne_2016,16,fou,fourrage,LU,luzerne,34,177
LU7,luzerne_2017,16,fou,fourrage,LU,luzerne,34,178
LU8,luzerne_2018,16,fou,fourrage,LU,luzerne,34,179
LUD,luzerne_deshyd,16,fou,fourrage,LU,luzerne,34,180
LUZ,autre_luzerne,16,fou,fourrage,LU,luzerne,34,181
BOP,bois_pature,17,esti,estives_landes,esti,estives_landes,35,182
SIN,surface_pastorale_non_utilise,17,esti,estives_landes,esti,estives_landes,35,183
SPH,surface_pastorale_herbe_predominante,17,esti,estives_landes,esti,estives_landes,35,184
SPL,surface_pastorale_fourrageres_ligneuses_predominantes,17,esti,estives_landes,esti,estives_landes,35,185
PPH,prairie_permanente_herbe_predominante,18,pp,prairies_permanentes,pp,prairies_permanentes,36,186
PRL,prairie_en_rotation_longue,18,pp,prairies_permanentes,pp,prairies_permanentes,36,187
