id,code,name,source,grp1,code_grp1,name_grp1,grp2,code_grp2,name_grp2,keep_ag
231,CHR,chardon_marie,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
232,CIB,ciboulette,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
233,CML,cameline,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
234,CMM,camomille,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
235,CRD,coriandre,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
236,CRF,cerfeuil,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
237,CUM,cumin,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
238,CUR,curcuma,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
239,EST,estragon,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
240,FNO,fenouil,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
241,FNU,fenugrec,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
242,HBL,houblon,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
243,LAV,lavande_lavandin,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
244,MAV,mauve,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
245,MLI,melisse,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
246,MLP,millepertuis,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
247,MOT,moutarde,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
248,MRJ,marjolaine_origan,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
249,MTH,menthe,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
250,ORT,ortie,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
251,OSE,oseille,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
252,PAR,plante_aromatique_autre_que_vanille,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
253,PMD,plante_medicinale,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
254,PME,plante_medicinale_perenne,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
255,PPA,autre_plante_a_parfum_aromatique_medicinale_annuelle,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
256,PPF,plante_a_parfum_autre,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
257,PPP,autre_plante_a_parfum_aromatique_medicinale_perenne,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
258,PRF,plante_a_parfum_perenne,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
259,PSL,persil,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
260,PSN,psyllium_noir_provence,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
261,PSY,plantain_psyllium,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
262,ROM,romarin,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
263,SGE,sauge,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
264,SRI,sarriette,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
265,TAB,tabac,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
266,THY,thym,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
267,TOT,tomate_transfo,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
268,VAL,valeriane,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
269,VNB,vanille_sous_bois,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
270,VNL,vanille,rpg,24,a_indus,autres_cult_indus,42,a_indus,autres_cult_indus,1
